time,vol_sed,delta_v,m
15,0.000675447620511,-0.000782027768098,0.001062159951421
30,0.000653305642241,-5.32E-05,0.001522585728413
45,0.000426610746671,-0.000153843259763,0.001141266480244
60,0.000338457374035,-4.40E-05,0.000896942558604
75,0.000360811562386,2.32E-06,0.000779968865419
90,0.000290001224091,-4.94E-05,0.0007786800423
105,0.000165985418988,2.43E-06,0.000586147547919
120,7.81E-05,1.22E-05,0.000474855299344
135,8.92E-05,2.98E-05,0.000574939835939
150,9.69E-05,7.72E-06,0.000722410769154
165,0.000119154489758,-1.28E-05,0.000664425403707
180,8.20E-05,6.48E-05,0.00050935372683
195,7.03E-05,-6.16E-05,0.000325169083684
210,3.82E-05,1.19E-05,0.000210488314511
225,2.38E-05,9.31E-06,0.000196562818293
240,4.55E-05,4.68E-05,0.000198373007968
255,3.69E-05,-4.79E-05,0.000195128343066
270,3.16E-05,2.67E-06,0.000162299701675
285,3.06E-05,1.95E-06,0.000148568702765
300,1.95E-05,4.09E-05,0.000149739117436
315,1.09E-05,-5.50E-06,0.000163236094833
330,1.90E-05,-1.40E-05,0.000141542922352
345,5.79E-05,2.88E-05,0.000192951550912
360,3.27E-05,-4.47E-05,0.000174912784095
375,4.13E-05,3.94E-06,0.000156902943525
390,2.18E-05,1.21E-05,0.000118885061045
405,6.49E-06,4.45E-05,0.000120745840176
420,1.04E-05,-5.05E-05,0.000130765926207
435,4.28E-06,3.99E-06,9.45E-05
450,3.79E-06,-4.65E-06,9.59E-05
465,2.20E-06,1.02E-05,9.43E-05
480,4.28E-06,3.66E-05,0.000107620239135
